"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Ilman lämpötila mediaani [°C]"
"Turku Artukainen","2023","8","28","09:00","14.4"
"Turku Artukainen","2023","8","28","10:00","14.6"
"Turku Artukainen","2023","8","28","11:00","14.7"
"Turku Artukainen","2023","8","28","12:00","15.2"
"Turku Artukainen","2023","8","28","13:00","15.4"
"Turku Artukainen","2023","8","28","14:00","15"
"Turku Artukainen","2023","8","28","15:00","14.6"
"Turku Artukainen","2023","8","28","16:00","14.2"
"Turku Artukainen","2023","8","28","17:00","13.6"
"Turku Artukainen","2023","8","28","18:00","13.2"
"Turku Artukainen","2023","8","28","19:00","12.9"
"Turku Artukainen","2023","8","28","20:00","12.9"
"Turku Artukainen","2023","8","28","21:00","13"
"Turku Artukainen","2023","8","28","22:00","13"
"Turku Artukainen","2023","8","28","23:00","13.2"
"Turku Artukainen","2023","8","29","00:00","13.5"
"Turku Artukainen","2023","8","29","01:00","14.1"
"Turku Artukainen","2023","8","29","02:00","14.5"
"Turku Artukainen","2023","8","29","03:00","14.4"
"Turku Artukainen","2023","8","29","04:00","14.1"
"Turku Artukainen","2023","8","29","05:00","14.4"
"Turku Artukainen","2023","8","29","06:00","14.1"
"Turku Artukainen","2023","8","29","07:00","14.5"
"Turku Artukainen","2023","8","29","08:00","15.2"
"Turku Artukainen","2023","8","29","09:00","16.3"
"Turku Artukainen","2023","8","29","10:00","17.9"
"Turku Artukainen","2023","8","29","11:00","18.6"
"Turku Artukainen","2023","8","29","12:00","18.9"
"Turku Artukainen","2023","8","29","13:00","19.9"
"Turku Artukainen","2023","8","29","14:00","19.6"
"Turku Artukainen","2023","8","29","15:00","20"
"Turku Artukainen","2023","8","29","16:00","20.2"
"Turku Artukainen","2023","8","29","17:00","19.9"
"Turku Artukainen","2023","8","29","18:00","19.4"
"Turku Artukainen","2023","8","29","19:00","19"
"Turku Artukainen","2023","8","29","20:00","18.1"
"Turku Artukainen","2023","8","29","21:00","16.8"
"Turku Artukainen","2023","8","29","22:00","15.7"
"Turku Artukainen","2023","8","29","23:00","14.9"
"Turku Artukainen","2023","8","30","00:00","14.9"
"Turku Artukainen","2023","8","30","01:00","14.4"
"Turku Artukainen","2023","8","30","02:00","13.5"
"Turku Artukainen","2023","8","30","03:00","12.9"
"Turku Artukainen","2023","8","30","04:00","13"
"Turku Artukainen","2023","8","30","05:00","13.2"
"Turku Artukainen","2023","8","30","06:00","13.8"
"Turku Artukainen","2023","8","30","07:00","13.9"
"Turku Artukainen","2023","8","30","08:00","14"
"Turku Artukainen","2023","8","30","09:00","14.1"
"Turku Artukainen","2023","8","30","10:00","14.3"
"Turku Artukainen","2023","8","30","11:00","14.6"
"Turku Artukainen","2023","8","30","12:00","15"
"Turku Artukainen","2023","8","30","13:00","15.8"
